#{"env_id": "JacoPush-v1", "gym_version": "0.9.2", "t_start": 1512573846.684806}
r,l,t
-182.821243,200,0.584163
-170.612758,200,0.763848
-191.82054,200,0.939568
-194.796026,200,1.110532
-183.320584,200,1.290178
-245.633202,200,1.469452
-195.942184,200,1.641954
-175.047919,200,1.823046
-219.20076,200,2.001066
-177.519778,200,2.182219
-170.751474,200,3.12749
-204.913642,200,3.304578
-176.687754,200,3.486764
-183.5112,200,3.669055
-196.601084,200,3.853712
-197.755225,200,4.02582
-188.163598,200,4.201895
-188.599519,200,4.383147
-167.318748,200,4.558212
-191.24518,200,4.730861
-202.852601,200,5.601815
-165.406633,200,5.775936
-171.821084,200,5.953372
-163.13626,200,6.144829
-162.275263,200,6.32088
-181.604171,200,6.496243
-163.940032,200,6.671517
-185.932115,200,6.857412
-168.543387,200,7.045207
-188.924575,200,7.234739
-194.599972,200,8.099892
-178.168567,200,8.28826
-225.144292,200,8.469289
-173.335163,200,8.649241
-169.547715,200,8.837184
-166.897388,200,9.026737
-177.631792,200,9.211831
-168.529219,200,9.405926
-155.890489,200,9.594094
-188.891909,200,9.780727
-189.901341,200,10.632033
-178.763058,200,10.818894
-175.92207,200,11.007425
-180.749033,200,11.193319
-165.007894,200,11.377488
-175.98796,200,11.565737
-175.961462,200,11.755757
-155.751171,200,11.94107
-170.23973,200,12.127441
-184.082377,200,12.343727
